FiscalYear,Superintendent_Name,field_support_center_name,location_name,principal_name,location_category_description,NthYearTeaching,experience_category,Tenure,upForTenure,flag_Extended,prior_HEDI_Rating,MOTPOptionID,observation_completion_pct,NmbrComponentRated,MOTP_Score,MOTP_Rating,growthRanking_current,MOTPComponent_2char,Component_Average,Component_Rating,PrincipalActiveYears,Fake_DBN,Fake_EmpID,Teacher_Name
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,4e,3,E,0.6,00B971,7265585,"KCK, UBY"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,1a,3,E,0.6,00B971,7265585,"KCK, UBY"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,3d,,,0.6,00B971,7265585,"KCK, UBY"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,3c,3,E,0.6,00B971,7265585,"KCK, UBY"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,2a,3,E,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,2d,3,E,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,1a,,,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,3c,3,E,0.6,00B971,7265585,"KCK, UBY"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,1e,3,E,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,3d,2,D,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,3b,3,E,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,2a,3,E,0.6,00B971,7265585,"KCK, UBY"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,2d,3,E,0.6,00B971,7265585,"KCK, UBY"
2018,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,7,3,Effective,329,3b,3,E,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,1e,,,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of B,The B971 Elementary,Name of principal,Elementary,,,,,,E,C,0.25,6,2.81,Effective,329,4e,3,E,0.6,00B971,7265585,"KCK, UBY"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,2a,4,H,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,3b,3,E,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,3c,4,H,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,1e,4,H,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,3d,,,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,1a,4,H,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,2a,4,H,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,2d,4,H,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,4e,,,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,2d,4,H,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,3d,,,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,1e,4,H,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,3b,,,4.48,00A681,6811774,"FHV, ILP"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.3333333333,5,4,Highly Effective,582,1a,4,H,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,3c,4,H,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,19,10,Y,,,H,E,0.6666666667,6,3.78,Highly Effective,582,4e,,,4.48,00A681,6811774,"FHV, ILP"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,2d,4,H,4.48,00A681,7005181,"WOM, QXD"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,2d,4,H,4.48,00A681,7005181,"WOM, QXD"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,2a,4,H,4.48,00A681,7005181,"WOM, QXD"
2018,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,3.7,Highly Effective,582,1a,3.5,E,4.48,00A681,7005181,"WOM, QXD"
2019,Supt Z,Center of A,The A681 Elementary,Name of principal,Elementary,6,46,Y,,,H,E,0.6666666667,8,4,Highly Effective,582,3b,4,H,4.48,00A681,7005181,"WOM, QXD"
